"Timing","Year","Reduction"
"March",2013,93.9156993895408
"March",2013,90.7346529370204
"March",2013,87.8725046960494
"March",2013,93.5622038827148
"March",2013,44.6916050321221
"March",2013,67.1890305350969
"March",2013,93.8845322758999
"March",2013,87.871559172068
"March",2013,89.2206065894716
"March",2013,94.2499776325517
"March",2013,91.510054546799
"March",2013,88.1122656215118
"March",2013,93.429247697406
"March",2013,93.5332117030072
"March",2013,90.4309587708853
"March",2013,90.562146106525
"March",2013,92.3039630554098
"March",2013,89.774368947252
"March",2013,93.2835389945967
"March",2013,93.7349696506699
"March",2013,94.2473226595906
"March",2013,86.6281550214763
"March",2013,92.6449949235815
"March",2013,83.2238408849807
"March",2013,90.0342727209784
"March",2013,91.5701918193414
"March",2013,94.379877937986
"March",2013,71.3477347863101
"March",2013,93.6754914745324
"March",2013,82.5517645437193
"March",2013,91.6503365034439
"March",2013,93.620754067684
"March",2013,93.3898380853109
"March",2013,85.4316972435324
"March",2013,94.5935368871852
"March",2013,86.647864278842
"March",2013,92.794471446607
"March",2013,58.9137843760315
"March",2013,92.8732062144269
"March",2013,78.5101787420875
"March",2013,94.4449660304667
"March",2013,81.5874969817063
"March",2013,81.0669717796356
"March",2013,94.0481562271283
"March",2013,92.7162040942075
"March",2013,70.8314551134073
"March",2013,88.1410408172662
"March",2013,94.3071147545729
"March",2013,90.3116954633109
"March",2013,86.9905991479707
"March",2013,91.4357303474596
"March",2013,85.3510817635473
"March",2013,94.1599158541243
"March",2013,59.4694656908878
"March",2013,90.8173636772653
"March",2013,91.6701536298556
"March",2013,90.58982176255
"March",2013,94.2680993003134
"March",2013,89.8060354180205
"March",2013,93.8227704815626
"March",2013,90.2252363303237
"March",2013,93.5381412523765
"March",2013,84.8197239004039
"March",2013,79.7477027689048
"March",2013,92.951131623838
"March",2013,94.4359607423665
"March",2013,92.2828805011481
"March",2013,91.5124271676303
"March",2013,94.2694575307652
"March",2013,94.52038395941
"March",2013,91.0725831185974
"March",2013,92.5726946921901
"March",2013,87.5282906604155
"March",2013,92.4996199758853
"March",2013,68.2807731931753
"March",2013,83.1895164801302
"March",2013,94.6790446104227
"March",2013,93.3556281420764
"March",2013,93.9215034255686
"March",2013,93.2599418232113
"March",2013,94.5897747820278
"March",2013,75.684730510366
"March",2013,90.4674439916924
"March",2013,91.2812928538342
"March",2013,79.3434279269711
"March",2013,93.9409623935319
"March",2013,85.9142857950377
"March",2013,92.8733907892968
"March",2013,90.8502592283445
"March",2013,93.9645984781833
"March",2013,89.299537295959
"March",2013,94.3993335329446
"March",2013,93.5638506993909
"March",2013,94.435483530215
"March",2013,92.3930797786394
"March",2013,93.5497587213985
"March",2013,93.1883445888108
"March",2013,92.7577848363651
"March",2013,88.2646393887205
"March",2013,93.0611017786503
"March",2013,56.1565784022361
"March",2013,93.2416816325257
"March",2013,93.8655214435084
"March",2013,77.331693287467
"March",2013,94.3309943215815
"March",2013,92.8267801773764
"March",2013,94.5928232415376
"March",2013,93.7111531707928
"March",2013,73.3039895916635
"March",2013,94.0904783219901
"March",2013,94.1445930581831
"March",2013,87.7585747622571
"March",2013,86.6952165021456
"March",2013,73.9204892993016
"March",2013,80.0523449222617
"March",2013,93.6726282861961
"March",2013,94.425857115034
"March",2013,93.1620603420879
"March",2013,86.4663850433873
"March",2013,93.4348079821639
"March",2013,85.7231732462989
"March",2013,88.5258197572456
"March",2013,86.1443623298508
"March",2013,92.6779388762466
"March",2013,90.6779516574965
"March",2013,72.8058970375056
"March",2013,94.4867307755047
"March",2013,93.7925718373604
"March",2013,93.2573887549251
"March",2013,52.8209900721187
"March",2013,89.9574061813498
"March",2013,94.3729337530215
"March",2013,94.6932562788926
"March",2013,94.517565324237
"March",2013,92.8601806688972
"March",2013,86.2676199103882
"March",2013,78.1376895547736
"March",2013,90.1129443590913
"March",2013,92.4952677005291
"March",2013,86.9268210421102
"March",2013,83.9148138541814
"March",2013,93.350052965911
"March",2013,92.9233477009733
"March",2013,93.7373941671096
"March",2013,93.9788669012079
"March",2013,93.8148126570672
"March",2013,91.1795938070005
"March",2013,94.0941161980911
"March",2013,91.0623495352484
"March",2013,86.6931036792773
"March",2013,76.7496240589884
"March",2013,73.8197921655383
"March",2013,91.0975673075822
"March",2013,91.712753043792
"March",2013,83.1902608002232
"March",2013,93.1067336061892
"March",2013,93.4705176080053
"March",2013,92.5288298351229
"March",2013,94.0407181559088
