"rain_lag","temp_lag","r_train","r_test","rho","kappa","lambda"
4,6,0.636963627074226,0.613275924059065,0.189069200792236,6628.72203421367,5.00106058812571
4,7,0.608800672957027,0.736041936792664,0.25318326588564,1.28685529333129,4.99754297527995
4,8,0.610802871691992,0.555839398496667,0.255308727079641,2.69442389330417,5.01180098163466
4,9,0.601087779475089,0.456192871445292,0.252388710265303,211.909076472279,5.00082385375674
4,10,0.574117523347735,0.519506725502933,0.254346841178152,0.764928560258475,4.99246860506245
4,11,0.540738849200938,0.422603014959414,0.254057981604939,16.053261679769,5.0000007635869
4,12,0.56775272228946,0.479330834000207,0.253657308518672,0.026239660730102,5.00009826614391
5,6,0.657778614056171,0.525048951812721,0.157522974603379,0.158219916505346,4.99990195614826
5,7,0.611424885408651,0.68091617119332,0.25138343176028,0.0793894998286644,4.9999977414772
5,8,0.584620881392247,0.717359055910008,0.256818554218858,0.77976809287425,5.0030012630998
5,9,0.557177018764811,0.652822584929914,0.253819969503154,1.27962897347616,4.99969573078122
5,10,0.568314070530465,0.354489930029218,0.252871294231661,2.49383516800428,5.00004196198242
5,11,0.530421368391364,0.399685735873946,0.253891718295351,1.54589099080383e-06,5.00015213108447
5,12,0.518105373361696,0.402358072453607,0.25702272239843,8.69642507877058,4.9972240046108
6,6,0.653771646235925,0.560655971308596,0.166130784344325,0.127972439233798,5.00019675510906
6,7,0.616602013756338,0.643477126521905,0.25135332487486,0.07277402522742,5.0000593092261
6,8,0.581566621079099,0.720638216402394,0.253276661621558,0.0739356316545596,4.9990967508647
6,9,0.563998145107036,0.546212677253756,0.254534420965975,131192.098544982,4.99774759327837
6,10,0.469867577040058,0.614337610573815,0.257096109254554,1.23879452868646,4.99923624051713
6,11,0.506301438987237,0.301296886771597,0.254243498741165,154504.629579364,5.00002194842456
6,12,0.397304603148177,0.468813079878419,0.258068803117312,11.8327856141948,4.99926445674274
7,6,0.657795111631348,0.522386398181119,0.195098571183255,125.413004701951,4.9997361180471
7,7,0.616669854209962,0.643751684378657,0.251700465010703,28.2556522932062,4.99994816744922
7,8,0.595379972719574,0.681555388544476,0.253458222441799,0.0477349481552014,4.99768970484674
7,9,0.544394081913088,0.689372524079773,0.255701174281154,0.012994463002439,5.00009481624045
7,10,0.500758275326346,0.538285873907364,0.25425043456909,212047.447898205,4.9987455248936
7,11,0.397670056320532,0.489900714274378,0.255822070904165,3.11366897362688,4.99823284223086
7,12,0.352354420225586,0.310599855351166,0.266938403657809,1341324.30070615,5.00426426036255
8,6,0.637170494947036,0.674556330049631,0.250172675616271,2.16824755179729,4.9984512618129
8,7,0.613612953034255,0.656184364552951,0.251947104867358,0.53681792523756,4.99745937473217
8,8,0.587610247344885,0.695247830880447,0.247117453486609,5.91595706938619e-07,5.00273590917058
8,9,0.541456475007645,0.6881641405526,0.255178422112245,0.386827268139109,4.99962037074586
8,10,0.474814191697006,0.656794543083822,0.256263141680893,0.527000877698754,5.00023353632779
8,11,0.454943352370888,0.314184678929556,0.255514500872675,931921.865433204,4.99970790395957
8,12,0.340673375394675,0.390339815140993,0.257803479531999,613.998633594606,4.99897266726001
