"Parameter","PRCC","p_value","Significant"
"ε (blocking efficacy)",0.977499066229331,8.83502373590148e-136,"***"
"ν_M (maternal)",0.9594677611591,7.32444013623114e-111,"***"
"ν_P (paternal)",0.479090570551628,7.15441841404969e-13,"***"
"ν_V (venereal)",0.232243730610404,0.000935630845600605,"***"
"K₀ (carrying cap)",-0.155750713499361,0.0276442092587382,"*"
"k_R (rain→K)",-0.0824832675645167,0.245577782801244,"ns"
"M₀_F (init females)",-0.0820595361470763,0.24801985832022,"ns"
"N_rel (released males)",0.0560347519816321,0.430636227391324,"ns"
